13,15,16,17,19,20,21,23,24,29,31,35,37,40,41,46,48,49,50,51,52,62,64,66,73,76,86
Planning_Jurisdiction,Township,Fire_District,Land_Sale_Price,Zoning,Deeded_Acreage,Total_sale_Price,Assessed_Building_Value,Assessed_Land_Value,BILLING_CLASS,Land_classification,VCS,Year_Built,HEATED_AREA,UTILITIES,Remodeled_Year,Story_Height,DESIGN_STYLE,Foundation_Basement,Foundation_Basement_Percent,Exterior_Wall,HEAT,AIR,BATH,CITY,Accrued_Assessed_Condition_Pct,PHYSICAL_ZIP_CODE
RA,01,,0,NX-3,0.32,0,0,"112,906",1,V,ECRA001,0,0,ALL,0,,,,0,,,,,RAL,0,27604
RA,08,,0,IX-3,2,"740,000","524,503","392,040",1,C,GWRA001,1979,4500,ALL,0,A,A,D,0,O,G,A,I,RAL,47,27617
RA,08,,0,IX-3,2,"740,000","524,503","392,040",1,C,GWRA001,1989,4008,ALL,0,A,A,D,0,B,A,A,I,RAL,55,27617
RA,01,,0,IX-3,1.38,"185,000","374,128","245,076",1,C,ECRA001,1993,8500,ALL,0,A,A,D,0,O,G,A,I,RAL,45,27604
RA,01,,0,IX-3,1.11,"750,000","238,511","578,774",1,C,ECRA001,1968,3088,ALL,0,A,A,,0,B,A,A,I,RAL,44,27604
RA,01,,0,,13.83,0,0,0,3,V,01RA518,0,0,ALL,0,,,,0,,,,,RAL,0,27610
RA,01,,0,RX-3,0.26,0,"7,960","509,783",1,C,WCRA001,0,0,ALL,0,,,,0,,,,,RAL,0,27607
RA,01,,0,OX-3,0.4,"82,000","288,558","1,313,770",1,C,DTRA001,1984,3341,ALL,0,C,A,A,0,A,A,A,I,RAL,50,27601
RA,01,,0,R-4,0.21,"34,500","134,321","115,000",2,R,01RA512,1964,1828,ALL,0,A,I,B,50,D,A,A,C,RAL,73,27610
RA,16,,0,R-4,0.46,"35,500","114,933","45,000",2,R,16RA030,1970,1240,E,0,A,A,D,0,A,A,A,A,RAL,76,27610
RA,01,,"28,000",R-4,0.43,0,"132,624","90,000",2,R,01RA712,1999,1037,ALL,0,A,A,D,0,Z,A,A,C,RAL,83,27606
WE,10,23,0,R3,0.46,"37,500","118,723","32,000",2,R,10WE022,1900,2261,WSE,0,A,A,D,0,A,A,A,C,WEN,54,27591
RA,01,,0,R-6,0.79,"210,000","105,618","112,500",1,R,01RA72M,1916,2440,ALL,0,C,E,D,0,A,A,A,J,RAL,40,27606
RA,01,,0,R-4,0.76,"5,000",0,"202,500",2,V,01RA515,0,0,ALL,0,,,,0,,,,,RAL,0,27604
RA,08,23,0,R-2,0.96,"70,000","358,290","140,000",2,R,08RA017,1971,3770,WGE,0,A,A,B,50,B,A,A,J,,68,27613
GA,16,23,0,R-20,0.51,0,"85,801","55,000",2,R,16GA034,1956,996,E,0,A,A,D,0,Z,A,A,A,,64,27603
RA,01,,0,R-6,0.47,"380,000","161,077","303,875",2,R,01RA291,1946,1789,ALL,2017,A,A,B,70,B,A,A,C,RAL,55,27607
RA,13,,0,R-4,0.39,"337,500","273,621","200,000",1,R,13RA063,1970,2463,ALL,0,A,A,D,0,A,A,A,C,RAL,87,27615
CA,04,23,0,R20,0.5,"7,500",0,"48,300",2,V,04CA025,0,0,WGE,0,,,,0,,,,,,0,27607
