Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
0.47,1946,1789,55
0.17,1946,1212,62
0.53,1958,1560,52
0.13,1948,1671,81
0.19,1929,2316,88
0.15,1949,1020,73
0.72,1971,1971,76
0.25,1968,1600,93
0.3,1969,2015,78
0.31,1949,3181,88
0.47,1962,950,63
0.32,1969,1875,91
0.41,1959,1248,66
0.4,1973,2148,69
0.53,1975,1559,46
0.3,1973,1894,96
0.31,1973,1949,83
0.32,1971,3210,82
0.44,1981,2018,57
0.48,1981,2256,57
0.48,1972,1196,71
0.28,1972,1752,79
0.4,1975,1647,88
0.12,2019,1590,97
0.17,2013,1296,93
0.1,1980,960,94
1.51,1964,1863,57
0.43,1970,2134,81
0.14,1920,920,84
0.17,2018,1308,96
0.27,1959,1701,78
0.92,1963,2520,50
0.19,1950,954,73
0.72,1959,1739,40
0.24,1954,1146,78
0.38,1972,1514,79
0.26,1972,1416,77
0.2,1965,1349,77
0.4,1964,2656,81
4.85,1971,2207,73
0.51,1971,2055,76
0.48,1953,1066,87
0.28,1964,1014,60
0.45,1965,3099,67
0.32,1969,2800,73
0.22,1928,4074,91
0.5,1973,1281,76
0.12,2018,1792,97
0.17,1998,1740,83
0.14,1930,1062,93
0.34,1970,976,84
1,1938,1504,81
0.24,2019,1941,97
0.38,1968,2173,77
0.44,1967,2721,94
1.25,1959,768,30
1.25,1950,1053,26
1.25,1954,765,28
1.25,1952,1280,27
0.78,1961,4131,93
0.68,1960,1170,67
0.81,1980,1014,66
1.01,1988,1512,67
1.1,1985,1675,68
0.61,1956,2196,61
0.18,1952,750,74
0.32,1961,1164,84
0.39,1960,1871,67
0.3,1956,1317,67
2.26,1965,4997,65
0.62,1961,1856,63
0.22,1996,2176,91
6.36,1976,2436,81
0.44,1952,1537,67
0.32,1961,1972,67
0.3,1972,1600,68
0.37,1972,1600,68
0.44,1973,2250,83
0.42,1973,2506,81
0.31,1973,2193,93
0.48,1972,1687,93
0.24,1972,1712,68
0.21,1973,1600,69
0.25,1974,1575,75
0.38,1974,1875,69
0.31,1973,1725,62
0.39,1973,1183,62
0.22,1973,1595,69
0.23,1973,1839,69
0.39,1973,1610,93
0.33,1973,1600,91
0.3,1973,1420,91
0.29,1973,1606,76
0.25,1972,1650,58
0.28,1972,1650,84
0.27,1972,1395,68
0.3,1973,2189,93
0.35,1973,1892,95
0.28,1973,2200,91
0.26,1973,1650,93
0.3,1973,975,86
0.17,1972,1020,68
0.44,1972,1320,55
0.18,1972,1200,79
0.19,1972,1221,72
0.29,1972,1230,89
0.23,1973,1000,53
0.18,1973,2050,92
0.33,1972,1530,82
0.27,1973,2000,91
0.22,1980,1900,78
0.28,1973,1152,69
0.61,1970,3579,34
0.38,1967,1875,55
0.82,1985,648,42
0.3,1960,1563,46
0.15,1909,2286,76
3.81,1937,2228,60
0.17,1930,1536,91
0.48,1954,1039,37
0.48,1960,1789,54
1.5,1954,1523,67
0.32,1961,1838,70
0.58,1960,1486,67
0.4,1968,1858,50
0.45,1918,3313,78
0.24,1970,2272,66
1.68,1984,2366,78
1.58,1981,3519,84
1.77,1982,3421,74
1.65,1989,3319,78
2.38,1970,4726,73
